inventory_id,product_id,location_type,location_id,quantity_on_hand,quantity_reserved,last_restock_date,last_updated
1,1,warehouse,1,1908,501,2025-11-05,2025-12-24 20:51:55
2,2,warehouse,1,2259,318,2025-11-17,2025-12-24 20:51:55
3,3,warehouse,1,2529,201,2025-12-09,2025-12-24 20:51:55
4,4,warehouse,1,2164,372,2025-12-11,2025-12-24 20:51:55
5,5,warehouse,1,2468,314,2025-12-04,2025-12-24 20:51:55
6,6,warehouse,1,3644,44,2025-12-03,2025-12-24 20:51:55
7,7,warehouse,1,5309,549,2025-12-07,2025-12-24 20:51:55
8,8,warehouse,1,1508,173,2025-11-30,2025-12-24 20:51:55
9,9,warehouse,1,1116,187,2025-11-08,2025-12-24 20:51:55
10,10,warehouse,1,2330,407,2025-12-17,2025-12-24 20:51:55
11,11,warehouse,1,4524,396,2025-11-11,2025-12-24 20:51:55
12,12,warehouse,1,946,254,2025-11-29,2025-12-24 20:51:55
13,13,warehouse,1,3324,569,2025-12-15,2025-12-24 20:51:55
14,14,warehouse,1,3571,730,2025-11-18,2025-12-24 20:51:55
15,15,warehouse,1,3986,718,2025-12-18,2025-12-24 20:51:55
16,16,warehouse,1,4647,324,2025-12-23,2025-12-24 20:51:55
17,17,warehouse,1,3050,199,2025-12-22,2025-12-24 20:51:55
18,18,warehouse,1,1054,62,2025-11-18,2025-12-24 20:51:55
19,19,warehouse,1,3559,644,2025-11-30,2025-12-24 20:51:55
20,20,warehouse,1,5399,1270,2025-11-01,2025-12-24 20:51:55
21,21,warehouse,1,3062,681,2025-11-11,2025-12-24 20:51:55
22,22,warehouse,1,3361,78,2025-10-26,2025-12-24 20:51:55
23,23,warehouse,1,4941,206,2025-10-30,2025-12-24 20:51:55
24,24,warehouse,1,4848,924,2025-11-14,2025-12-24 20:51:55
25,25,warehouse,1,4666,292,2025-12-17,2025-12-24 20:51:55
26,26,warehouse,1,1113,152,2025-12-06,2025-12-24 20:51:55
27,27,warehouse,1,3113,339,2025-12-09,2025-12-24 20:51:55
28,28,warehouse,1,2916,250,2025-12-14,2025-12-24 20:51:55
29,29,warehouse,1,1571,410,2025-11-20,2025-12-24 20:51:55
30,30,warehouse,1,1398,387,2025-11-03,2025-12-24 20:51:55
31,31,warehouse,1,1820,54,2025-11-17,2025-12-24 20:51:55
32,32,warehouse,1,4270,574,2025-11-10,2025-12-24 20:51:55
33,33,warehouse,1,2147,1,2025-11-12,2025-12-24 20:51:55
34,34,warehouse,1,5366,1475,2025-10-31,2025-12-24 20:51:55
35,35,warehouse,1,3700,815,2025-12-22,2025-12-24 20:51:55
36,36,warehouse,1,4553,1305,2025-11-09,2025-12-24 20:51:55
37,37,warehouse,1,4524,124,2025-11-24,2025-12-24 20:51:55
38,38,warehouse,1,4087,218,2025-11-07,2025-12-24 20:51:55
39,39,warehouse,1,4307,501,2025-12-05,2025-12-24 20:51:55
40,40,warehouse,1,4685,392,2025-12-14,2025-12-24 20:51:55
41,41,warehouse,1,2156,405,2025-12-16,2025-12-24 20:51:55
42,42,warehouse,1,4287,919,2025-12-06,2025-12-24 20:51:55
43,43,warehouse,1,666,147,2025-11-09,2025-12-24 20:51:55
44,44,warehouse,1,3406,9,2025-12-16,2025-12-24 20:51:55
45,45,warehouse,1,3569,592,2025-12-22,2025-12-24 20:51:55
46,46,warehouse,1,1574,452,2025-12-03,2025-12-24 20:51:55
47,47,warehouse,1,975,125,2025-11-30,2025-12-24 20:51:55
48,48,warehouse,1,4892,563,2025-12-04,2025-12-24 20:51:55
49,49,warehouse,1,3194,801,2025-11-29,2025-12-24 20:51:55
50,50,warehouse,1,2373,597,2025-11-14,2025-12-24 20:51:55
51,51,warehouse,1,2037,16,2025-12-15,2025-12-24 20:51:55
52,52,warehouse,1,5225,1336,2025-12-19,2025-12-24 20:51:55
53,53,warehouse,1,2701,84,2025-11-29,2025-12-24 20:51:55
54,54,warehouse,1,2389,448,2025-10-27,2025-12-24 20:51:55
55,55,warehouse,1,4226,506,2025-11-30,2025-12-24 20:51:55
56,56,warehouse,1,4499,274,2025-12-08,2025-12-24 20:51:55
57,57,warehouse,1,3642,470,2025-12-16,2025-12-24 20:51:55
58,58,warehouse,1,2057,347,2025-12-19,2025-12-24 20:51:55
59,59,warehouse,1,3078,814,2025-11-10,2025-12-24 20:51:55
60,60,warehouse,1,4845,1009,2025-12-19,2025-12-24 20:51:55
61,61,warehouse,1,3843,87,2025-12-03,2025-12-24 20:51:55
62,62,warehouse,1,5451,1572,2025-11-07,2025-12-24 20:51:55
63,63,warehouse,1,914,74,2025-12-01,2025-12-24 20:51:55
64,64,warehouse,1,3672,361,2025-11-21,2025-12-24 20:51:55
65,65,warehouse,1,2112,498,2025-11-08,2025-12-24 20:51:55
66,66,warehouse,1,1442,226,2025-12-15,2025-12-24 20:51:55
67,67,warehouse,1,4736,287,2025-12-22,2025-12-24 20:51:55
68,68,warehouse,1,5487,262,2025-12-22,2025-12-24 20:51:55
69,69,warehouse,1,918,69,2025-11-27,2025-12-24 20:51:55
70,70,warehouse,1,1218,363,2025-12-14,2025-12-24 20:51:55
71,71,warehouse,1,5200,929,2025-12-20,2025-12-24 20:51:55
72,72,warehouse,1,5019,1066,2025-11-06,2025-12-24 20:51:55
73,73,warehouse,1,3828,649,2025-11-08,2025-12-24 20:51:55
74,74,warehouse,1,4061,912,2025-11-30,2025-12-24 20:51:55
75,75,warehouse,1,5442,1446,2025-12-16,2025-12-24 20:51:55
76,76,warehouse,1,1318,302,2025-12-07,2025-12-24 20:51:55
77,77,warehouse,1,889,83,2025-12-10,2025-12-24 20:51:55
78,78,warehouse,1,2034,236,2025-11-13,2025-12-24 20:51:55
79,79,warehouse,1,1138,209,2025-12-03,2025-12-24 20:51:55
80,80,warehouse,1,1838,215,2025-12-16,2025-12-24 20:51:55
81,81,warehouse,1,4047,639,2025-11-28,2025-12-24 20:51:55
82,82,warehouse,1,3500,560,2025-12-07,2025-12-24 20:51:55
83,83,warehouse,1,2126,348,2025-11-14,2025-12-24 20:51:55
84,84,warehouse,1,1344,277,2025-12-06,2025-12-24 20:51:55
85,85,warehouse,1,1408,319,2025-11-11,2025-12-24 20:51:55
86,86,warehouse,1,3156,12,2025-11-14,2025-12-24 20:51:55
87,87,warehouse,1,862,191,2025-12-06,2025-12-24 20:51:55
88,88,warehouse,1,1403,403,2025-11-03,2025-12-24 20:51:55
89,89,warehouse,1,2878,134,2025-11-16,2025-12-24 20:51:55
90,90,warehouse,1,1136,51,2025-12-14,2025-12-24 20:51:55
91,91,warehouse,1,581,109,2025-11-05,2025-12-24 20:51:55
92,92,warehouse,1,3604,907,2025-11-15,2025-12-24 20:51:55
93,93,warehouse,1,4993,358,2025-10-25,2025-12-24 20:51:55
94,94,warehouse,1,2316,637,2025-12-09,2025-12-24 20:51:55
95,95,warehouse,1,922,118,2025-12-09,2025-12-24 20:51:55
96,96,warehouse,1,2982,766,2025-10-26,2025-12-24 20:51:55
97,97,warehouse,1,5345,1067,2025-11-01,2025-12-24 20:51:55
98,98,warehouse,1,2289,641,2025-12-09,2025-12-24 20:51:55
99,99,warehouse,1,782,94,2025-11-05,2025-12-24 20:51:55
100,100,warehouse,1,3533,834,2025-12-23,2025-12-24 20:51:55
101,101,warehouse,1,5288,4,2025-12-01,2025-12-24 20:51:55
102,102,warehouse,1,2544,437,2025-12-06,2025-12-24 20:51:55
103,103,warehouse,1,3204,193,2025-11-07,2025-12-24 20:51:55
104,104,warehouse,1,2038,24,2025-12-12,2025-12-24 20:51:55
105,105,warehouse,1,3356,200,2025-11-18,2025-12-24 20:51:55
106,106,warehouse,1,2600,507,2025-11-21,2025-12-24 20:51:55
107,107,warehouse,1,1505,6,2025-12-02,2025-12-24 20:51:55
108,108,warehouse,1,3485,81,2025-11-07,2025-12-24 20:51:55
109,109,warehouse,1,4541,1357,2025-10-31,2025-12-24 20:51:55
110,110,warehouse,1,4798,1167,2025-11-28,2025-12-24 20:51:55
111,111,warehouse,1,623,101,2025-11-16,2025-12-24 20:51:55
112,112,warehouse,1,3484,744,2025-12-18,2025-12-24 20:51:55
113,113,warehouse,1,3965,92,2025-11-25,2025-12-24 20:51:55
114,114,warehouse,1,1749,413,2025-10-25,2025-12-24 20:51:55
115,115,warehouse,1,659,160,2025-12-04,2025-12-24 20:51:55
116,116,warehouse,1,3188,490,2025-12-06,2025-12-24 20:51:55
117,117,warehouse,1,3631,125,2025-11-26,2025-12-24 20:51:55
118,118,warehouse,1,3529,955,2025-11-30,2025-12-24 20:51:55
119,119,warehouse,1,3403,483,2025-12-01,2025-12-24 20:51:55
120,120,warehouse,1,792,201,2025-12-06,2025-12-24 20:51:55
121,121,warehouse,1,5196,1184,2025-11-25,2025-12-24 20:51:55
122,122,warehouse,1,4686,1376,2025-11-15,2025-12-24 20:51:55
123,123,warehouse,1,3633,551,2025-11-07,2025-12-24 20:51:55
124,124,warehouse,1,5197,44,2025-12-06,2025-12-24 20:51:55
125,125,warehouse,1,2440,122,2025-11-28,2025-12-24 20:51:55
126,126,warehouse,1,5219,186,2025-12-13,2025-12-24 20:51:55
127,127,warehouse,1,4311,514,2025-11-02,2025-12-24 20:51:55
128,128,warehouse,1,2661,21,2025-11-05,2025-12-24 20:51:55
129,129,warehouse,1,3861,111,2025-10-29,2025-12-24 20:51:55
130,130,warehouse,1,3229,90,2025-10-27,2025-12-24 20:51:55
131,131,warehouse,1,2126,270,2025-11-26,2025-12-24 20:51:55
132,132,warehouse,1,595,36,2025-11-03,2025-12-24 20:51:55
133,133,warehouse,1,5440,835,2025-11-17,2025-12-24 20:51:55
134,134,warehouse,1,2526,101,2025-11-02,2025-12-24 20:51:55
135,135,warehouse,1,4153,1122,2025-11-23,2025-12-24 20:51:55
136,136,warehouse,1,3549,565,2025-12-07,2025-12-24 20:51:55
137,137,warehouse,1,2522,406,2025-12-15,2025-12-24 20:51:55
138,138,warehouse,1,4094,866,2025-11-03,2025-12-24 20:51:55
