order_item_id,order_id,product_id,quantity,unit_price,discount_percent,line_total
1,1,72,3,352.35,0,1057.05
2,1,112,1,337.36,0,337.36
3,2,68,3,66.75,8.87,182.49
4,3,67,2,175.88,0,351.76
5,4,71,1,417.01,0,417.01
6,4,13,1,87.4,9.54,79.06
7,4,88,2,125.18,0,250.36
8,5,29,1,425.14,0,425.14
9,5,21,2,155.78,0,311.56
10,6,139,3,42.59,0,127.77
11,6,91,1,31.82,0,31.82
12,6,78,2,257.47,0,514.94
13,7,69,1,288.22,9.38,261.18
14,7,88,3,125.18,0,375.54
15,8,52,2,118.79,15.7,200.28
16,8,127,2,115.38,0,230.76
17,8,61,3,189.04,0,567.12
18,8,7,1,161.62,19.91,129.44
19,9,132,1,281.25,0,281.25
20,9,125,3,170.74,12.74,446.96
21,9,33,2,414.38,0,828.76
22,9,105,3,197.09,0,591.27
23,10,100,2,259.5,20.63,411.93
24,10,142,1,523.19,0,523.19
25,11,7,1,161.62,0,161.62
26,12,12,1,199.05,16.51,166.19
27,12,43,3,387.96,0,1163.88
28,12,94,3,74.91,0,224.73
29,13,130,3,397.97,0,1193.91
30,13,86,2,345.37,0,690.74
31,13,35,3,154.1,21.49,362.95
32,13,83,1,111.16,0,111.16
33,14,115,2,253.1,0,506.2
34,15,43,1,387.96,0,387.96
35,15,91,1,31.82,11.08,28.29
36,15,26,3,445.7,0,1337.1
37,16,6,3,461.37,13,1204.18
38,17,133,2,330.48,0,660.96
39,17,50,3,49.6,0,148.8
40,18,61,2,189.04,0,378.08
41,18,8,1,350.28,0,350.28
42,18,139,3,42.59,0,127.77
43,19,148,2,504.75,0,1009.5
44,19,135,1,392.64,0,392.64
45,19,137,2,141.31,12.41,247.55
46,19,121,1,71.56,0,71.56
47,19,127,1,115.38,0,115.38
48,20,9,3,89.85,6.04,253.27
49,20,147,1,49.28,0,49.28
50,20,111,2,59.63,11.85,105.13
51,21,80,3,387.75,0,1163.25
52,21,11,3,440.79,16.66,1102.06
53,22,50,1,49.6,0,49.6
54,23,64,1,353.16,0,353.16
55,24,58,2,437.59,21.86,683.87
56,25,98,1,138.65,0,138.65
57,25,113,2,159.6,14.86,271.77
58,25,32,3,506.55,0,1519.65
59,25,58,3,437.59,20.44,1044.44
60,25,79,3,42.36,0,127.08
61,26,29,3,425.14,14.8,1086.66
62,26,139,1,42.59,0,42.59
63,26,110,1,117.83,0,117.83
64,26,113,3,159.6,0,478.8
65,27,118,1,342.01,0,342.01
66,27,133,3,330.48,0,991.44
67,27,121,2,71.56,18,117.36
68,27,6,1,461.37,0,461.37
69,27,137,2,141.31,0,282.62
70,28,59,2,54.43,0,108.86
71,28,69,1,288.22,0,288.22
72,29,17,3,275.65,0,826.95
73,29,112,3,337.36,0,1012.08
74,30,87,2,297.63,16.06,499.66
75,31,110,1,117.83,16.2,98.74
76,31,126,3,286.8,0,860.4
77,31,95,1,286.88,0,286.88
78,32,51,3,75.14,0,225.42
79,32,46,3,369.94,17.29,917.93
80,32,124,1,78.44,0,78.44
81,33,135,1,392.64,21.52,308.14
82,33,2,1,70.88,0,70.88
83,33,37,3,145.33,5.62,411.49
84,34,100,1,259.5,0,259.5
85,34,126,3,286.8,22.14,669.91
86,34,18,3,379.87,0,1139.61
87,34,26,3,445.7,0,1337.1
88,34,111,2,59.63,0,119.26
89,35,115,1,253.1,0,253.1
90,36,30,3,183.75,13.07,479.2
91,36,127,3,115.38,0,346.14
92,37,131,3,110.73,0,332.19
93,37,31,3,442.48,7.89,1222.7
94,38,132,1,281.25,0,281.25
95,39,143,1,250.88,0,250.88
96,39,53,3,227.55,21.48,536.02
97,39,47,3,249.36,0,748.08
98,40,98,1,138.65,0,138.65
99,41,65,1,124.62,0,124.62
100,41,12,3,199.05,0,597.15
101,41,55,3,175.5,10.45,471.48
102,42,38,1,240.13,0,240.13
103,43,149,1,305.78,16.97,253.89
104,43,8,3,350.28,0,1050.84
105,43,126,3,286.8,0,860.4
106,43,64,3,353.16,0,1059.48
107,43,118,3,342.01,15.69,865.05
108,44,92,3,253.23,5.44,718.36
109,45,125,1,170.74,0,170.74
110,45,99,2,486.54,0,973.08
111,45,7,1,161.62,0,161.62
112,45,30,2,183.75,0,367.5
113,46,61,3,189.04,0,567.12
114,47,77,1,393.08,0,393.08
115,47,39,1,236.54,0,236.54
116,48,39,3,236.54,0,709.62
117,48,91,2,31.82,0,63.64
118,49,142,2,523.19,0,1046.38
119,50,37,2,145.33,0,290.66
120,50,2,2,70.88,18.27,115.86
121,50,56,3,141.38,21.94,331.08
122,51,5,3,87.66,0,262.98
123,51,22,2,273.26,0,546.52
124,51,18,1,379.87,5.1,360.5
125,51,94,3,74.91,0,224.73
126,51,5,1,87.66,0,87.66
127,52,140,3,373.15,0,1119.45
128,52,82,3,226.78,24.9,510.94
129,52,65,3,124.62,0,373.86
130,52,3,3,164.79,8.17,453.98
131,52,99,3,486.54,0,1459.62
132,53,73,1,167.78,0,167.78
133,53,87,2,297.63,21.49,467.34
134,53,8,1,350.28,0,350.28
135,53,125,2,170.74,0,341.48
136,54,143,1,250.88,0,250.88
137,54,149,2,305.78,0,611.56
138,54,134,3,559.06,17.96,1375.96
139,54,53,3,227.55,19.75,547.83
140,55,11,1,440.79,0,440.79
141,55,71,2,417.01,20.19,665.63
142,55,134,2,559.06,7.44,1034.93
143,55,31,3,442.48,0,1327.44
144,56,81,2,473.45,6.79,882.61
145,56,43,2,387.96,18.83,629.81
146,56,31,1,442.48,15.37,374.47
147,56,53,3,227.55,0,682.65
148,56,140,2,373.15,0,746.3
149,57,134,3,559.06,0,1677.18
150,57,129,3,133.05,11.49,353.29
151,57,129,1,133.05,0,133.05
152,57,98,1,138.65,0,138.65
153,58,132,2,281.25,17.4,464.63
154,59,132,2,281.25,0,562.5
155,59,24,3,232.79,7.63,645.08
156,59,75,2,399.25,0,798.5
157,60,107,1,47.98,0,47.98
158,60,91,3,31.82,0,95.46
159,60,94,2,74.91,7.12,139.15
160,60,5,1,87.66,23.14,67.38
161,61,88,2,125.18,0,250.36
162,61,130,3,397.97,0,1193.91
163,61,77,1,393.08,0,393.08
164,62,82,2,226.78,6.33,424.85
165,62,47,3,249.36,0,748.08
166,62,3,1,164.79,0,164.79
167,63,103,1,262.55,15.65,221.46
168,63,76,3,19.83,0,59.49
169,63,117,1,35.4,0,35.4
170,63,30,1,183.75,0,183.75
171,64,149,2,305.78,0,611.56
172,64,5,1,87.66,0,87.66
173,64,133,3,330.48,19.59,797.22
174,64,107,3,47.98,0,143.94
175,64,126,1,286.8,0,286.8
176,65,35,2,154.1,0,308.2
177,65,104,2,111.24,20.92,175.94
178,66,119,2,156.59,0,313.18
179,66,21,2,155.78,0,311.56
180,67,72,1,352.35,0,352.35
181,67,13,2,87.4,0,174.8
182,67,96,3,229.91,6.93,641.93
183,67,55,2,175.5,0,351
184,67,107,3,47.98,15.22,122.03
185,68,2,3,70.88,0,212.64
186,68,45,1,18.78,10.45,16.82
187,68,2,2,70.88,5.27,134.29
188,68,32,2,506.55,20.03,810.18
189,69,58,3,437.59,9.09,1193.44
190,69,68,3,66.75,16.72,166.77
191,69,52,1,118.79,0,118.79
192,69,36,3,51.52,0,154.56
193,70,30,1,183.75,0,183.75
194,70,114,3,161.23,0,483.69
195,70,56,3,141.38,0,424.14
196,70,114,3,161.23,0,483.69
197,71,6,1,461.37,0,461.37
198,72,7,1,161.62,0,161.62
199,72,146,3,58.22,0,174.66
200,72,125,1,170.74,0,170.74
201,72,62,1,16.27,0,16.27
202,72,92,3,253.23,6.38,711.22
203,73,9,2,89.85,0,179.7
204,74,40,2,218.91,0,437.82
205,75,92,2,253.23,18.7,411.75
206,75,139,3,42.59,0,127.77
207,75,62,3,16.27,13.22,42.36
208,75,19,2,205.14,23.65,313.25
209,75,76,1,19.83,0,19.83
210,76,85,2,442.86,14.86,754.1
211,76,58,2,437.59,0,875.18
212,76,123,3,105.8,8.6,290.1
213,77,12,2,199.05,22.76,307.49
214,77,142,1,523.19,0,523.19
215,77,48,3,330.28,0,990.84
216,78,53,3,227.55,23.5,522.23
217,79,76,3,19.83,8.49,54.44
218,79,112,2,337.36,0,674.72
219,79,138,1,311.49,19.95,249.35
220,80,143,2,250.88,0,501.76
221,80,8,3,350.28,0,1050.84
222,80,98,1,138.65,15.63,116.98
223,80,126,2,286.8,0,573.6
224,81,135,3,392.64,13.19,1022.55
225,81,36,3,51.52,0,154.56
226,81,123,1,105.8,0,105.8
227,82,137,3,141.31,0,423.93
228,82,48,2,330.28,0,660.56
229,82,101,3,237.82,21.63,559.14
230,82,131,1,110.73,0,110.73
231,83,49,2,277.76,0,555.52
232,83,149,3,305.78,20,733.87
233,83,101,1,237.82,20.36,189.4
234,83,73,3,167.78,0,503.34
