order_id,order_number,customer_id,store_id,order_date,total_amount,payment_method,order_status,created_at
1,ORD-2023-000001,2060,83,2023-12-25T22:02:25.629Z,1394.41,Credit Card,Completed,2025-12-24 20:52:10
2,ORD-2023-000002,4187,18,2023-12-25T21:29:07.028Z,182.49,Credit Card,Completed,2025-12-24 20:52:10
3,ORD-2023-000003,4779,95,2023-12-25T22:37:33.439Z,351.76,Credit Card,Completed,2025-12-24 20:52:10
4,ORD-2023-000004,1206,33,2023-12-26T00:45:24.672Z,746.43,Google Pay,Processing,2025-12-24 20:52:10
5,ORD-2023-000005,1065,116,2023-12-26T22:47:40.175Z,736.7,Debit Card,Completed,2025-12-24 20:52:10
6,ORD-2023-000006,5409,10,2023-12-26T11:28:31.232Z,674.53,Cash,Cancelled,2025-12-24 20:52:10
7,ORD-2023-000007,6077,39,2023-12-26T11:20:35.010Z,636.72,Apple Pay,Completed,2025-12-24 20:52:10
8,ORD-2023-000008,11973,53,2023-12-27T00:36:30.858Z,1127.6,Cash,Completed,2025-12-24 20:52:10
9,ORD-2023-000009,11971,45,2023-12-26T20:07:28.258Z,2148.24,Apple Pay,Cancelled,2025-12-24 20:52:10
10,ORD-2023-000010,1532,93,2023-12-26T19:35:33.481Z,935.12,Debit Card,Completed,2025-12-24 20:52:10
11,ORD-2023-000011,6916,111,2023-12-26T18:15:26.676Z,161.62,Debit Card,Completed,2025-12-24 20:52:10
12,ORD-2023-000012,11416,44,2023-12-27T01:49:26.149Z,1554.8,Credit Card,Completed,2025-12-24 20:52:10
13,ORD-2023-000013,9456,80,2023-12-26T09:14:31.782Z,2358.76,Credit Card,Cancelled,2025-12-24 20:52:10
14,ORD-2023-000014,7757,44,2023-12-27T02:40:55.751Z,506.2,Cash,Completed,2025-12-24 20:52:10
15,ORD-2023-000015,7726,3,2023-12-26T19:13:00.068Z,1753.35,PayPal,Shipped,2025-12-24 20:52:10
16,ORD-2023-000016,151,13,2023-12-27T03:46:02.343Z,1204.18,Apple Pay,Cancelled,2025-12-24 20:52:10
17,ORD-2023-000017,11170,28,2023-12-27T01:35:05.643Z,809.76,Google Pay,Completed,2025-12-24 20:52:10
18,ORD-2023-000018,6130,130,2023-12-27T06:02:14.555Z,856.13,Debit Card,Completed,2025-12-24 20:52:10
19,ORD-2023-000019,8714,135,2023-12-27T05:40:13.955Z,1836.63,PayPal,Completed,2025-12-24 20:52:10
20,ORD-2023-000020,9415,27,2023-12-26T21:23:38.830Z,407.68,PayPal,Completed,2025-12-24 20:52:10
21,ORD-2023-000021,9933,26,2023-12-26T14:03:12.382Z,2265.31,Cash,Completed,2025-12-24 20:52:10
22,ORD-2023-000022,6071,52,2023-12-26T15:50:29.304Z,49.6,Credit Card,Completed,2025-12-24 20:52:10
23,ORD-2023-000023,6162,40,2023-12-27T01:10:39.069Z,353.16,Google Pay,Completed,2025-12-24 20:52:10
24,ORD-2023-000024,8279,139,2023-12-26T22:20:57.065Z,683.87,Debit Card,Shipped,2025-12-24 20:52:10
25,ORD-2023-000025,1184,45,2023-12-27T06:37:08.408Z,3101.59,Cash,Completed,2025-12-24 20:52:10
26,ORD-2023-000026,11080,45,2023-12-27T10:13:29.494Z,1725.88,Credit Card,Completed,2025-12-24 20:52:10
27,ORD-2023-000027,459,8,2023-12-27T08:45:51.772Z,2194.8,Cash,Shipped,2025-12-24 20:52:10
28,ORD-2023-000028,3600,143,2023-12-26T23:48:11.639Z,397.08,Debit Card,Completed,2025-12-24 20:52:10
29,ORD-2023-000029,10480,4,2023-12-27T12:30:55.094Z,1839.03,Cash,Cancelled,2025-12-24 20:52:10
30,ORD-2023-000030,5134,11,2023-12-27T01:15:26.844Z,499.66,Cash,Completed,2025-12-24 20:52:10
31,ORD-2023-000031,9416,26,2023-12-27T13:17:06.504Z,1246.02,PayPal,Shipped,2025-12-24 20:52:10
32,ORD-2023-000032,10396,45,2023-12-26T22:02:17.109Z,1221.79,Cash,Completed,2025-12-24 20:52:10
33,ORD-2023-000033,10313,68,2023-12-27T12:18:42.809Z,790.51,Google Pay,Completed,2025-12-24 20:52:10
34,ORD-2023-000034,1443,77,2023-12-26T16:23:51.677Z,3525.38,Credit Card,Completed,2025-12-24 20:52:10
35,ORD-2023-000035,10714,11,2023-12-27T00:15:05.723Z,253.1,PayPal,Completed,2025-12-24 20:52:10
36,ORD-2023-000036,5581,122,2023-12-27T12:32:30.564Z,825.34,Credit Card,Completed,2025-12-24 20:52:10
37,ORD-2023-000037,3238,96,2023-12-27T08:43:42.220Z,1554.89,Google Pay,Cancelled,2025-12-24 20:52:10
38,ORD-2023-000038,9721,110,2023-12-26T18:32:15.339Z,281.25,Apple Pay,Completed,2025-12-24 20:52:10
39,ORD-2023-000039,2702,121,2023-12-26T22:04:32.442Z,1534.98,Google Pay,Completed,2025-12-24 20:52:10
40,ORD-2023-000040,8382,108,2023-12-27T11:46:04.009Z,138.65,Cash,Cancelled,2025-12-24 20:52:10
41,ORD-2023-000041,11420,43,2023-12-27T08:47:28.256Z,1193.25,Debit Card,Processing,2025-12-24 20:52:10
42,ORD-2023-000042,3057,148,2023-12-27T14:57:49.014Z,240.13,Google Pay,Cancelled,2025-12-24 20:52:10
43,ORD-2023-000043,2819,72,2023-12-27T11:47:34.592Z,4089.66,Cash,Shipped,2025-12-24 20:52:10
44,ORD-2023-000044,3894,99,2023-12-27T05:23:47.016Z,718.36,Google Pay,Completed,2025-12-24 20:52:10
45,ORD-2023-000045,8067,91,2023-12-27T14:48:50.882Z,1672.94,Google Pay,Completed,2025-12-24 20:52:10
46,ORD-2023-000046,6615,12,2023-12-27T15:22:03.927Z,567.12,Cash,Cancelled,2025-12-24 20:52:10
47,ORD-2023-000047,7570,140,2023-12-27T20:22:35.072Z,629.62,PayPal,Completed,2025-12-24 20:52:10
48,ORD-2023-000048,5269,25,2023-12-27T11:59:29.566Z,773.26,Apple Pay,Cancelled,2025-12-24 20:52:10
49,ORD-2023-000049,2907,97,2023-12-27T23:01:18.093Z,1046.38,PayPal,Cancelled,2025-12-24 20:52:10
50,ORD-2023-000050,1521,101,2023-12-27T02:30:27.287Z,737.6,Credit Card,Completed,2025-12-24 20:52:10
51,ORD-2023-000051,8054,54,2023-12-27T17:12:43.730Z,1482.39,Credit Card,Completed,2025-12-24 20:52:10
52,ORD-2023-000052,9722,26,2023-12-27T18:01:53.620Z,3917.85,Apple Pay,Completed,2025-12-24 20:52:10
53,ORD-2023-000053,7624,137,2023-12-27T11:12:03.890Z,1326.88,Apple Pay,Completed,2025-12-24 20:52:10
54,ORD-2023-000054,10903,89,2023-12-27T12:06:36.364Z,2786.23,Apple Pay,Cancelled,2025-12-24 20:52:10
55,ORD-2023-000055,9411,14,2023-12-27T07:02:55.562Z,3468.79,Cash,Cancelled,2025-12-24 20:52:10
56,ORD-2023-000056,5897,102,2023-12-27T14:56:00.979Z,3315.84,PayPal,Cancelled,2025-12-24 20:52:10
57,ORD-2023-000057,5777,120,2023-12-27T11:05:40.997Z,2302.17,Credit Card,Processing,2025-12-24 20:52:10
58,ORD-2023-000058,4595,82,2023-12-27T11:52:20.096Z,464.63,Credit Card,Cancelled,2025-12-24 20:52:10
59,ORD-2023-000059,5032,65,2023-12-27T11:51:22.762Z,2006.08,Debit Card,Processing,2025-12-24 20:52:10
60,ORD-2023-000060,323,148,2023-12-27T10:48:37.596Z,349.97,Credit Card,Completed,2025-12-24 20:52:10
61,ORD-2023-000061,718,53,2023-12-27T08:14:16.965Z,1837.35,Cash,Completed,2025-12-24 20:52:10
