shipment_item_id,shipment_id,product_id,quantity
1,1,49,343
2,1,135,419
3,1,135,396
4,1,49,457
5,1,53,331
6,1,43,167
7,1,38,253
8,1,49,179
9,2,115,259
10,2,7,370
11,2,115,140
12,2,42,193
13,3,66,136
14,3,111,143
15,3,102,433
16,3,61,307
17,3,111,372
18,3,48,496
19,3,78,52
20,3,92,448
21,3,66,277
22,4,124,403
23,4,93,400
24,4,124,68
25,4,120,66
26,5,67,217
27,5,136,382
28,5,101,384
29,5,136,318
30,5,17,254
31,5,96,284
32,5,101,119
33,5,101,398
34,6,53,478
35,6,97,257
36,6,43,293
37,6,135,368
38,6,38,172
39,6,38,493
40,7,43,176
41,7,53,408
42,8,101,162
43,8,139,462
44,8,58,230
45,8,17,281
46,8,67,170
47,9,78,183
48,9,143,492
49,9,102,126
50,9,111,184
51,9,78,379
52,9,61,449
53,9,92,160
54,10,20,72
55,10,149,465
56,10,134,285
57,11,106,507
58,11,34,242
59,11,122,468
60,11,34,81
61,11,68,150
62,12,66,168
63,12,102,268
64,12,78,522
65,12,66,117
66,12,48,531
67,12,111,219
68,12,143,419
69,12,78,494
70,12,102,105
71,13,137,287
72,13,119,468
73,13,113,350
74,13,15,167
75,13,59,221
76,13,85,159
77,14,112,490
78,14,100,308
79,14,37,430
80,15,73,182
81,15,22,255
82,15,73,62
83,15,68,423
84,15,29,410
85,15,73,260
86,15,29,73
87,15,22,135
88,16,48,322
89,16,102,193
90,17,143,354
91,17,61,510
92,17,78,59
93,17,102,104
94,17,78,319
95,18,30,107
96,18,83,389
97,18,15,516
98,18,2,78
99,18,23,53
100,18,36,264
101,18,23,495
102,18,25,322
103,18,25,223
104,19,28,306
105,19,10,450
106,19,10,362
107,19,10,254
108,19,115,489
109,19,31,184
110,20,63,520
111,20,141,234
112,20,65,347
113,20,82,344
114,20,27,238
115,20,4,254
116,20,65,327
117,21,24,410
118,21,90,542
119,21,123,252
120,21,1,118
121,21,16,371
122,22,124,310
123,22,77,193
124,22,93,327
125,22,149,161
126,22,93,246
127,22,77,452
128,23,138,246
129,23,104,214
130,23,116,260
131,23,112,281
132,23,138,347
133,23,130,211
134,23,40,289
135,23,126,295
136,23,147,531
137,24,149,98
138,24,134,162
139,24,149,371
140,24,149,253
141,24,77,323
142,24,9,537
143,24,94,374
144,24,77,176
145,24,124,154
146,25,117,138
147,25,54,501
148,25,50,359
149,25,46,98
150,25,98,51
151,25,46,136
152,25,98,401
153,26,132,298
154,26,127,164
155,26,114,85
156,26,108,88
157,26,148,410
158,27,142,519
159,27,142,454
160,27,41,369
161,28,122,454
162,28,29,154
163,28,129,264
164,28,68,58
165,28,29,121
166,28,34,425
167,28,68,481
168,28,34,465
169,28,106,190
170,29,80,518
171,29,114,76
172,29,80,377
173,29,127,115
174,30,22,304
175,30,73,151
176,30,22,259
177,30,19,175
178,30,68,170
179,30,29,264
180,30,73,317
181,31,61,447
182,31,102,291
183,32,37,373
184,32,12,484
185,32,70,389
186,32,86,188
187,32,70,216
188,32,126,127
189,32,126,475
190,32,86,152
191,33,1,324
192,33,144,527
193,33,144,230
194,33,123,162
195,33,90,389
196,33,55,449
197,33,123,521
198,33,55,131
199,34,95,194
200,34,39,184
201,34,69,118
202,34,109,343
203,34,75,234
204,34,109,135
205,34,109,193
206,34,109,112
207,34,150,460
208,35,119,103
209,35,83,469
210,35,25,472
211,35,83,167
212,35,25,123
213,35,36,336
214,35,45,153
215,36,65,127
216,36,27,199
217,36,82,164
218,36,4,211
219,36,141,159
220,36,21,328
221,37,101,217
222,37,17,505
223,37,14,353
224,37,139,141
225,37,67,71
226,38,24,344
227,38,24,184
228,38,123,280
229,38,144,433
230,38,24,523
231,38,26,157
232,38,123,316
233,39,38,244
234,39,38,252
