store_id,store_name,store_type,country,city,state,address,postal_code,warehouse_id,square_footage,manager_name,phone,opened_date,created_at
1,Atlanta Mall,Superstore,United States,Atlanta,Georgia,2650 Queen Street,30301,2,9922,Xavier Carlson,13848501718,2020-04-28,2025-12-24 20:51:17
2,Prince County Outlet,Mall,Canada,Prince County,Prince Edward Island,2240 Woodbine Avenue,C0B,7,23248,Tyler Stewart,19156843884,2024-01-02,2025-12-24 20:51:17
3,Bredbury Mall,Mall,United Kingdom,Bredbury,England,1385 Kensington High Street,SK6,8,23328,Lauren Griffiths,446599772650,2019-12-30,2025-12-24 20:51:17
4,Hausen am Bussen Standard,Flagship,Germany,Hausen am Bussen,Baden-Württemberg,9858 Stuttgarter Straße,89597,1,41160,Martha Horn,492905522129,2024-05-02,2025-12-24 20:51:17
5,Issel Mall,Express,France,Issel,Occitanie,294 Boulevard Pasteur,11400,7,20262,Christine Fleury,337134233943,2024-03-14,2025-12-24 20:51:17
6,Bulga Forest Standard,Standard,Australia,Bulga Forest,New South Wales,4097 Charles Street,2429,6,42996,Karen Jackson,613245614535,2022-10-30,2025-12-24 20:51:17
7,Motomachi Superstore,Outlet,Japan,Motomachi,Nagano Ken,6928 伊勢佐木町通り (Isezakichō-dōri),390-0803,1,34073,Sho Nakamura,811649394123,2021-08-21,2025-12-24 20:51:17
8,Terezinha Standard,Standard,Brazil,Terezinha,Pernambuco,4201 Rua Padre Anchieta,55305-000,12,20954,Alexandro Mayer,553836094608,2018-10-11,2025-12-24 20:51:17
9,El Jarazo Superstore,Outlet,Mexico,El Jarazo,Sonora,3221 Avenida Federalismo,84328,10,5939,Raquel Vázquez,521579736868,2018-08-07,2025-12-24 20:51:17
10,Rosola Standard,Outlet,Italy,Rosola,Emilia-Romagna,3616 Via Michelangelo,41059,3,14014,Vittorio Paris,391333284263,2020-08-07,2025-12-24 20:51:17
11,Bures Mall,Standard,Spain,Bures,Galicia,4249 Calle de Mendez Núñez,15984,4,35064,Andrés Aguilar,345970545380,2025-03-26,2025-12-24 20:51:17
12,Schraard Mall,Flagship,Netherlands,Schraard,Friesland,614 Weesperstraat,8746,2,44114,Ans Klaassen,319541941522,2024-04-06,2025-12-24 20:51:17
13,Flushing Flagship,Superstore,United States,Flushing,New York,5880 Valley View Drive,11355,11,23911,Trinity Gonzalez,18425345566,2019-11-28,2025-12-24 20:51:17
14,Hamilton Express,Outlet,Canada,Hamilton,Ontario,6158 Main Street,L8V,5,11473,Patricia May,15762801507,2020-07-23,2025-12-24 20:51:17
